Time,temperature,humidity,light,sound
0:24,29.1,58.3,0,37.2
0:24,29.1,58.3,0,37.5
0:24,29.0,58.3,0,38.2
0:24,29.0,58.2,0,37.7
0:25,29.0,58.2,0,37.8
0:25,29.0,58.2,0,37.7
0:25,29.0,58.2,0,38.0
0:25,29.0,58.2,0,37.4
0:25,29.0,58.3,0,37.8
0:25,29.0,58.3,0,37.9
0:25,29.0,58.2,0,37.1
0:25,29.0,58.2,0,37.0
0:25,29.0,58.2,0,37.5
0:25,29.0,58.3,0,37.0
0:25,29.0,58.2,0,37.3
0:25,29.0,58.2,0,37.3
0:25,29.0,58.2,0,37.6
0:25,29.0,58.3,0,37.1
0:25,29.0,58.3,0,37.5
0:26,29.0,58.2,0,37.6
0:26,29.0,58.3,0,37.5
0:26,29.0,58.2,0,37.6
0:26,29.0,58.2,0,37.5
0:26,29.0,58.2,0,37.6
0:26,29.0,58.3,0,37.3
0:26,29.0,58.2,0,37.2
0:26,29.0,58.2,0,37.4
0:26,29.0,58.2,0,37.5
0:26,29.1,58.3,0,37.4
0:26,29.0,58.2,0,37.7
0:26,29.0,58.1,0,36.9
0:26,29.0,58.3,0,37.5
0:26,29.0,58.2,0,37.5
0:26,29.0,58.2,0,37.2
0:27,29.0,58.2,0,37.6
0:27,29.0,58.2,0,37.9
0:27,29.0,58.3,0,37.4
0:27,29.0,58.2,0,37.2
0:27,29.0,58.3,0,37.2
0:27,29.0,58.2,0,37.5
0:27,29.0,58.2,0,37.6
0:27,29.1,58.3,0,37.0
0:27,29.0,58.3,0,37.4
0:27,29.1,58.3,0,37.4
0:27,29.0,58.2,0,37.7
0:27,29.0,58.2,0,37.1
0:27,29.1,58.2,0,37.6
0:27,29.0,58.2,0,37.4
0:27,29.0,58.2,0,37.6
0:28,29.0,58.3,0,37.7
0:28,29.0,58.3,0,38.1
0:28,29.0,58.3,0,39.1
0:28,29.0,58.3,0,37.5
0:28,29.0,58.3,0,38.2
0:28,29.0,58.1,0,37.8
0:28,29.0,58.3,0,38.1
0:28,29.0,58.3,0,38.0
0:28,29.0,58.2,0,38.3
0:28,29.1,58.2,0,37.6
0:28,29.0,58.2,0,37.6
0:28,29.0,58.2,0,37.9
0:28,29.0,58.2,0,37.2
0:28,29.1,58.3,0,37.6
0:28,29.1,58.3,0,37.6
0:29,29.0,58.2,0,36.8
0:29,29.1,58.2,0,37.8
0:29,29.0,58.3,0,37.4
0:29,29.0,58.2,0,38.0
0:29,29.0,58.3,0,37.3
0:29,29.0,58.2,0,37.6
0:29,29.0,58.2,0,37.7
0:29,29.0,58.2,0,37.1
0:29,29.0,58.2,0,37.2
0:29,29.1,58.3,0,37.5
0:29,29.0,58.3,0,37.5
0:29,29.0,58.2,0,37.1
0:29,29.1,58.2,0,37.2
0:29,29.0,58.3,0,37.2
0:29,29.0,58.2,0,37.2
0:30,29.1,58.2,0,37.0
0:30,29.0,58.3,0,37.4
0:30,29.0,58.2,0,37.3
0:30,29.0,58.2,0,37.0
0:30,29.0,58.3,0,37.1
0:30,29.0,58.3,0,37.4
0:30,29.0,58.3,0,37.2
0:30,29.0,58.2,0,37.8
0:30,29.0,58.2,0,37.6
0:30,29.0,58.2,0,37.1
0:30,29.0,58.2,0,37.3
0:30,29.0,58.2,0,37.1
0:30,29.0,58.2,0,37.5
0:30,29.0,58.2,0,37.4
0:30,29.0,58.2,0,37.7
0:31,29.0,58.3,0,37.6
0:31,29.0,58.2,0,37.4
0:31,29.0,58.3,0,37.0
0:31,29.0,58.2,0,37.6
0:31,29.0,58.2,0,37.4
0:31,29.0,58.2,0,36.7
0:31,29.0,58.2,0,37.5
0:31,29.0,58.2,0,37.7
0:31,29.0,58.2,0,38.6
0:31,29.0,58.2,0,39.3
0:31,29.0,58.2,0,42.0
0:31,29.1,58.2,0,46.2
0:31,29.1,58.2,0,45.3
0:31,29.0,58.2,0,40.7
0:31,29.0,58.2,0,42.2
0:32,29.0,58.2,0,43.1
0:32,29.0,58.1,0,42.7
0:32,29.0,58.2,0,41.4
0:32,29.0,58.2,0,40.1
0:32,29.0,58.1,0,39.6
0:32,29.0,58.2,0,39.5
0:32,29.0,58.2,0,40.3
0:32,29.0,58.2,0,38.5
0:32,29.0,58.2,0,37.9
0:32,29.1,58.2,0,38.5
0:32,29.1,58.2,0,38.5
0:32,29.0,58.2,0,39.5
0:32,29.1,58.1,0,37.4
0:32,29.0,58.2,0,37.7
0:32,29.0,58.2,0,37.2
0:33,29.1,58.1,0,37.5
0:33,29.1,58.1,0,38.8
0:33,29.0,58.1,0,37.7
0:33,29.0,58.2,0,37.6
0:33,29.1,58.3,0,37.5
0:33,29.1,58.3,0,38.0
0:33,29.0,58.2,0,37.7
0:33,29.0,58.4,0,37.5
0:33,29.0,58.3,0,37.2
0:33,29.1,58.3,0,37.4
0:33,29.0,58.2,0,37.3
0:33,29.0,58.2,0,37.9
0:33,29.0,58.2,0,37.1
0:33,29.1,58.2,0,37.7
0:33,29.0,58.2,0,37.8
0:34,29.1,58.2,0,37.3
0:34,29.0,58.2,0,37.2
0:34,29.0,58.2,0,37.6
0:34,29.0,58.1,0,37.3
0:34,29.0,58.1,0,37.3
0:34,29.0,58.1,0,37.0
0:34,29.0,58.2,0,37.2
0:34,29.1,58.2,0,37.2
0:34,29.0,58.2,0,37.8
0:34,29.0,58.3,0,37.8
0:34,29.0,58.2,0,37.4
0:34,29.0,58.1,0,37.7
0:34,29.1,58.2,0,37.3
0:34,29.0,58.2,0,37.4
0:34,29.0,58.1,0,37.3
0:35,29.0,58.1,0,37.5
0:35,29.1,58.2,0,37.3
0:35,29.1,58.3,0,37.4
0:35,29.0,58.1,0,37.3
0:35,29.0,58.1,0,37.3
0:35,29.0,58.3,0,37.5
0:35,29.0,58.4,0,37.2
0:35,29.0,58.4,0,37.4
0:35,29.0,58.3,0,37.5
0:35,29.1,58.3,0,37.4
0:35,29.0,58.3,0,37.5
0:35,29.0,58.3,0,37.3
0:35,29.1,58.3,0,37.2
0:35,29.0,58.2,0,37.2
0:35,29.0,58.2,0,37.2
0:36,29.1,58.3,0,37.7
0:36,29.0,58.3,0,37.0
0:36,29.0,58.2,0,37.5
0:36,29.0,58.3,0,37.3
0:36,29.0,58.3,0,37.6
0:36,29.0,58.3,0,37.8
0:36,29.0,58.3,0,37.2
0:36,29.0,58.3,0,37.9
0:36,29.0,58.2,0,39.9
0:36,29.0,58.1,0,39.8
0:36,29.0,58.3,0,40.1
0:36,29.0,58.2,0,39.1
0:36,29.0,58.3,0,38.4
0:36,29.0,58.2,0,38.0
0:36,29.0,58.3,0,38.0
0:37,29.0,58.3,0,37.8
0:37,29.0,58.3,0,37.7
0:37,29.0,58.3,0,37.8
0:37,29.0,58.2,0,37.8
0:37,29.0,58.2,0,37.9
0:37,29.0,58.3,0,37.7
0:37,29.0,58.3,0,37.2
0:37,29.0,58.3,0,37.4
0:37,29.0,58.3,0,37.5
0:37,29.1,58.3,0,37.5
0:37,29.0,58.3,0,37.4
0:37,29.0,58.2,0,37.7
0:37,29.0,58.3,0,37.7
0:37,29.0,58.3,0,37.3
0:37,29.0,58.3,0,37.7
0:38,29.1,58.3,0,37.1
0:38,29.0,58.3,0,37.6
0:38,29.0,58.2,0,37.4
0:38,29.0,58.3,0,37.1
0:38,29.0,58.3,0,37.8
0:38,29.0,58.2,0,37.6
0:38,29.0,58.3,0,37.1
0:38,29.1,58.2,0,37.6
0:38,29.0,58.2,0,37.6
0:38,29.0,58.2,0,37.3
0:38,29.1,58.2,0,37.6
0:38,29.0,58.3,0,37.2
0:38,29.0,58.2,0,37.8
0:38,29.0,58.2,0,38.0
0:38,29.0,58.2,0,38.0
0:39,29.0,58.2,0,37.6
0:39,29.0,58.2,0,38.2
0:39,29.0,58.2,0,37.6
0:39,29.0,58.2,0,37.5
0:39,29.0,58.1,0,37.2
0:39,29.0,58.2,0,38.1
0:39,29.0,58.2,0,37.7
0:39,29.0,58.2,0,37.4
0:39,29.1,58.2,0,37.8
0:39,29.0,58.1,0,37.6
0:39,29.0,58.2,0,37.9
0:39,29.0,58.2,0,37.7
0:39,29.0,58.2,0,37.4
0:39,29.0,58.2,0,37.4
0:39,29.0,58.2,0,37.4
0:40,29.0,58.3,0,37.3
0:40,29.0,58.2,0,37.5
0:40,29.0,58.2,0,37.3
0:40,29.0,58.2,0,37.5
0:40,29.0,58.2,0,37.4
0:40,29.0,58.2,0,37.1
0:40,29.0,58.1,0,37.8
0:40,29.0,58.1,0,37.6
0:40,29.0,58.2,0,38.6
0:40,29.0,58.1,0,38.9
0:40,29.0,58.2,0,39.8
0:40,29.1,58.2,0,39.2
0:40,29.0,58.2,0,37.6
0:40,29.0,58.3,0,38.9
0:40,29.0,58.2,0,38.1
0:41,29.0,58.1,0,37.5
0:41,29.0,58.2,0,37.7
0:41,29.1,58.2,0,37.9
0:41,29.1,58.2,0,37.6
0:41,29.1,58.2,0,37.4
0:41,29.1,58.3,0,37.5
0:41,29.0,58.2,0,37.9
0:41,29.0,58.2,0,37.8
0:41,29.0,58.2,0,37.6
0:41,29.0,58.2,0,37.7
0:41,29.0,58.2,0,37.4
0:41,29.1,58.2,0,37.6
0:41,29.0,58.3,0,37.4
0:41,29.0,58.2,0,37.6
0:41,29.0,58.2,0,37.5
0:42,29.0,58.3,0,37.3
0:42,29.1,58.2,0,37.5
0:42,29.1,58.2,0,37.3
0:42,29.0,58.2,0,37.2
0:42,29.1,58.2,0,37.8
0:42,29.0,58.1,0,37.5
0:42,29.0,58.1,0,37.3
0:42,29.0,58.3,0,37.1
0:42,29.1,58.2,0,37.7
0:42,29.0,58.2,0,37.5
0:42,29.1,58.2,0,37.5
0:42,29.0,58.2,0,37.4
0:42,29.0,58.2,0,37.5
0:42,29.1,58.1,0,37.5
0:42,29.0,58.2,0,38.3
0:43,29.0,58.2,0,37.6
0:43,29.0,58.2,0,37.5
0:43,29.0,58.2,0,38.4
0:43,29.1,58.1,0,38.2
0:43,29.1,58.2,0,37.5
0:43,29.0,58.3,0,37.8
0:43,29.0,58.4,0,37.9
0:43,29.0,58.4,0,37.5
0:43,29.0,58.3,0,38.2
0:43,29.0,58.3,0,38.3
0:43,29.0,58.3,0,38.2
0:43,29.0,58.2,0,37.7
0:43,29.1,58.3,0,37.7
0:43,29.0,58.2,0,37.5
0:43,29.0,58.3,0,37.4
0:44,28.9,58.3,0,38.1
0:44,29.0,58.2,0,37.6
0:44,29.0,58.2,0,37.5
0:44,29.0,58.3,0,37.0
0:44,29.0,58.2,0,37.4
0:44,29.0,58.3,0,37.2
0:44,29.0,58.3,0,37.4
0:44,29.0,58.2,0,37.3
0:44,29.0,58.2,0,37.7
0:44,29.0,58.2,0,37.1
0:44,29.0,58.2,0,37.1
0:44,29.1,58.2,0,37.3
0:44,29.0,58.1,0,37.7
0:44,29.0,58.2,0,37.5
0:44,29.0,58.2,0,37.3
0:45,29.0,58.2,0,37.3
0:45,29.0,58.2,0,37.3
0:45,29.0,58.3,0,37.0
0:45,29.0,58.3,0,37.0
0:45,29.0,58.3,0,37.6
0:45,29.0,58.3,0,37.5
0:45,29.0,58.3,0,37.8
0:45,29.0,58.3,0,37.0
0:45,29.1,58.3,0,37.5
0:45,29.0,58.2,0,37.4
0:45,29.0,58.3,0,37.4
0:45,29.0,58.3,0,36.8
0:45,29.0,58.2,0,37.2
0:45,29.0,58.3,0,37.5
0:45,29.0,58.2,0,37.5
0:46,29.0,58.3,0,37.0
0:46,29.0,58.3,0,37.6
0:46,29.0,58.2,0,37.6
0:46,29.0,58.2,0,37.4
0:46,29.0,58.2,0,37.5
0:46,29.0,58.2,0,37.3
0:46,29.0,58.2,0,37.6
0:46,29.0,58.1,0,37.6
0:46,29.1,58.2,0,37.4
0:46,29.0,58.2,0,37.4
0:46,29.1,58.2,0,37.1
0:46,29.0,58.2,0,37.7
0:46,29.1,58.2,0,37.3
0:46,29.1,58.2,0,37.5
0:46,29.1,58.1,0,37.4
0:47,29.0,58.2,0,37.5
0:47,29.0,58.2,0,37.6
0:47,29.0,58.2,0,37.4
0:47,29.0,58.2,0,37.4
0:47,29.1,58.2,0,37.7
0:47,29.0,58.2,0,37.3
0:47,29.0,58.1,0,37.5
0:47,29.1,58.1,0,37.5
0:47,29.0,58.1,0,37.3
0:47,29.0,58.3,0,37.4
0:47,29.0,58.1,0,37.3
0:47,29.0,58.1,0,37.7
0:47,29.0,58.2,0,37.4
0:47,29.0,58.1,0,37.4
0:47,29.0,58.2,0,37.2
0:48,29.1,58.2,0,37.5
0:48,29.0,58.2,0,37.4
0:48,29.0,58.2,0,37.5
0:48,29.0,58.1,0,37.5
0:48,29.0,58.1,0,37.3
0:48,29.1,58.2,0,37.2
0:48,29.0,58.1,0,37.3
0:48,29.0,58.2,0,37.4
0:48,29.0,58.2,0,37.2
0:48,29.0,58.2,0,37.4
0:48,29.0,58.2,0,37.4
0:48,29.1,58.1,0,37.4
0:48,29.1,58.1,0,37.3
0:48,29.0,58.2,0,37.4
0:48,29.1,58.2,0,37.3
0:49,29.0,58.2,0,37.1
0:49,29.0,58.1,0,37.4
0:49,29.0,58.3,0,37.4
0:49,29.0,58.2,0,37.1
0:49,29.0,58.3,0,37.3
0:49,29.0,58.3,0,37.6
0:49,29.0,58.2,0,37.3
0:49,29.0,58.3,0,37.3
0:49,29.1,58.3,0,37.5
0:49,29.0,58.3,0,37.0
0:49,29.0,58.2,0,37.1
0:49,29.0,58.2,0,37.5
0:49,29.0,58.2,0,37.4
0:49,29.1,58.3,0,37.3
0:49,29.0,58.2,0,37.5
0:50,29.0,58.3,0,37.3
0:50,29.0,58.2,0,37.3
0:50,29.0,58.3,0,37.6
0:50,29.0,58.2,0,37.3
0:50,29.0,58.2,0,37.1
0:50,29.1,58.2,0,37.3
0:50,29.0,58.2,0,36.5
0:50,29.0,58.2,0,37.8
0:50,29.0,58.2,0,36.9
0:50,29.0,58.2,0,37.4
0:50,29.0,58.2,0,37.1
0:50,29.0,58.2,0,37.5
0:50,29.1,58.2,0,37.2
0:50,29.0,58.3,0,37.4
0:50,29.0,58.4,0,37.4
0:51,29.0,58.4,0,37.5
0:51,29.0,58.4,0,37.5
0:51,29.1,58.3,0,37.6
0:51,29.0,58.4,0,37.5
